price,description,charge_type
MarkUp,GUIDEWIRE NEPHROSTOMY ,standard
MarkUp,GUIDEWIRE ORTHOPEDIC ,standard
235.00,GUIDEWIRE PERIPHERAL ,standard
1734,GUIDEWIRE PRESSURE ,standard
423,GUIDEWIRE ROTAWIRE W/WIRECLIP ,standard
MarkUp,GUIDEWIRE SPINAL ,standard
143,GUIDEWIRE SUPER STIFF ,standard
MarkUp,GUIDEWIRE SURGICAL ,standard
1204,GUIDEWIRE TRANSEND EX ,standard
MarkUp,GUIDEWIRE URETERAL ,standard
MarkUp,GUIDEWIRE VASCULAR ,standard
423.00,GUIDEWIRE VASCULAR ,standard
510,GUIDEWIRE VIPER ,standard
345,GUIDWIRE TAD II ,standard
673,GW TRANSEND .018 165CM ,standard
184.00,GWIRE MAGIC TORQUE ,standard
26,H INFLUENZAE B AB ,standard
MarkUp,HAEMOPH B VAC 0.5ML-PEDVAXHIB ,standard
133.8,HAEMOPHILUS B POLYSAC CONJ VAC 7.5 MCG/0.5 ML IM SUSP [159031],standard
91.4,HAEMOPHILUS B POLYSAC CONJ VAC IM SOLR [11931],standard
2665,HALO 90 ABLATION CATHETER ,standard
3468,HALO ABLATION CATHETER ,standard
3710,HALO APPLICATION ,standard
80,HALO CAP ,standard
375,HALO GUIDEWIRE ,standard
1120,HALO SIZING BALLOON ,standard
574.10,HALOBETASOL PROPIONATE 0.05 % EX CREA [10159],standard
3.00,HALOPERIDOL 0.25 MG PO TAB (INPATIENT) [402206],standard
3.00,HALOPERIDOL 0.5 MG PO TABS [3578],standard
3,HALOPERIDOL 1 MG PO TABS [3579],standard
5.4,HALOPERIDOL 10 MG PO TABS [3580],standard
3.00,HALOPERIDOL 2 MG PO TABS [3581],standard
3.3,HALOPERIDOL 5 MG PO TABS [3583],standard
205.00,HALOPERIDOL DECANOATE 100 MG/ML IM SOLN [10162],standard
236.40,HALOPERIDOL DECANOATE 100 MG/ML IM SOLN [10162],standard
141.80,HALOPERIDOL DECANOATE 50 MG/ML IM SOLN [10163],standard
117.20,HALOPERIDOL DECANOATE 50 MG/ML IM SOLN [10163],standard
9.00,HALOPERIDOL LACTATE 10 MG/5 ML PO CONC UD SH [402774],standard
9.00,HALOPERIDOL LACTATE 2 MG/ML PO CONC [3585],standard
43.20,HALOPERIDOL LACTATE 2 MG/ML PO CONC [3585],standard
38.90,HALOPERIDOL LACTATE 5 MG/ML IJ SOLN [3584],standard
90,HAND DRESSING ,standard
100.00,HAND/FOOT OTOFORM ,standard
MarkUp,HANDHELD SPIROMETER ,standard
729,HANDLE COIL DETACHMENT ,standard
MarkUp,HANDPIECE ELECTROSURGICAL ,standard
MarkUp,HANDPIECE PULSED LAVAGE ,standard
MarkUp,HANDPIECE SPINE ,standard
460.00,HANDS AP BOTH ,standard
85.00,HAPTOGLOBIN QUANTITATIVE ,standard
184,HARNESS-PAVLIK ,standard
6025,HARVEST ALLOGENIC STEM CELLS ,standard
4150,HARVEST AUTOLOGUS STEM CELLS ,standard
380.00,HAST W/OXYGEN TITRATE ,standard
380.00,HAST W/REPORT ,standard
485,HB 1P19Q DELETION BY FISH EA ADDTL ,standard
11465,HB ADAPTER ,standard
35,HB B-HCG QUANT SERUM SCREEN ,standard
9085,HB BLLN DIL OF BIL DUCTS PERQ W/IMG GUID EA DUCT ADD ON ,standard
790,HB CMV QUANT PCR CSF ,standard
3955,HB DRAINAGE MOUTH LESION ,standard
3300,HB DX DUDO INTUB W/ASP SPECS ,standard
2410,HB FLEX SIGMOIDOSCOPY CA SCR ,standard
"1,260.00",HB GASTRIC EMPTYING IMAG STUDY SM BWL ,standard
1615,HB GASTRIC EMPTYING IMAG STUDY SM/LG BWL ,standard
"2,154.00",HB HIV PHENOTYPE FIRST 10 DRUGS ,standard
38925,HB ICD-DUAL ,standard
1115,HB INDIGO ASPIRATION ENGINE CANNISTER ,standard
2140,HB INJ PROC NFROSGRAM & URTRGRM NEW ACCESS ,standard
736,HB M/PHIMTRIC ALYS ISH QUANT/SEMIQ ,standard
40.00,HB MARIGEN PER SQ CM ,standard
175,HB MOD SED DIFF MD <5YRS 1ST 15 MINS ,standard
3400,HB MOLECL SOLID TUMOR NGS >50 GENES ,standard
140,HB MRI FETAL EA ADDL GESTATION ,standard
990,HB MRI FETAL SNGL/1ST GESTATION ,standard
300.00,HB NON OCCUPATIONAL EVAL HIGH COMPLEX ,standard
250,HB NON OCCUPATIONAL EVAL MODERATE COMPLEX ,standard
230,HB NON OCCUPATIONAL THERAPY EVAL LOW ,standard
30,HB OASIS TRI-LAYER WOUND MATRIX-PER SQ CM ,standard
"15,295.00",HB PERQ PLMT BILE DUCT STENT EA STNT EXST ACCESS ,standard
4080,HB REPOSITION VAD DIFFERENT SESSION ,standard
1245,HB RESPIRATOR MOTION MGMT SIMUL ,standard
194,HB SEAMLESS INTRO KIT ,standard
MarkUp,HB STEM TIBIAL ,standard
285,HB VEMP TESTING ,standard
840,HB XRAY HIPS BILAT 5/> VWS ,standard
515,HBO 30MIN. ,standard
102,HCG QUANT ,standard
102,HCG QUANT CSF ,standard
291,HCV RNA BY PCR QUANT ,standard
291,HCV RNA RT-PCR ,standard
2850,HDR RDNCL NTRSTL/CAV BRCHTX >12 CHANS ,standard
2850,HDR RDNCL NTRSTL/CAV BRCHTX 1 CHAN ,standard
"2,850.00",HDR RDNCL NTRSTL/CAV BRCHTX 2-12 CHANS ,standard
745,HDR RDNCL SKN SURF BRACHTX  1 CHAN ,standard
745,HDR RDNCL SKN SURF BRACHTX  MULT CHAN ,standard
MarkUp,HEAD FEMORAL ,standard
MarkUp,HEAD HUMERAL ,standard
100.00,HEALTH AND BEHAVIOR INTERVENTION W/FAMILY NO PAT EA 15 MINS ,standard
MarkUp,HEARING AID BATTERY EACH ,standard
MarkUp,HEARING AID BEHIND EAR BINAURAL ,standard
MarkUp,HEARING AID BICROS BEHIND EAR ,standard
MarkUp,HEARING AID BICROS IN EAR ,standard
MarkUp,HEARING AID BTE BINAURAL ,standard
MarkUp,HEARING AID BTE MONAURAL ,standard
MarkUp,HEARING AID CIC BINAURAL ,standard
MarkUp,HEARING AID CIC MONAURAL ,standard
65,HEARING AID CONSULT AND SELECTION BINAURAL ,standard
65,HEARING AID CONSULT AND SELECTION MONAURAL ,standard
MarkUp,HEARING AID CRD MONAURAL BTE ,standard
MarkUp,HEARING AID CROS BEHIND EAR ,standard
MarkUp,HEARING AID CRS  BINAURAL ITE/BTE ,standard
MarkUp,HEARING AID CRS BINAURAL BTE/BTE ,standard
MarkUp,HEARING AID CRS BINAURAL ITC/BTE ,standard
MarkUp,HEARING AID CRS BINAURAL ITC/ITC ,standard
MarkUp,HEARING AID CRS BINAURAL ITE/ITC ,standard
MarkUp,HEARING AID CRS BINAURAL ITE/ITE ,standard
MarkUp,HEARING AID EAR MOLD OR INSERT ,standard
515,"HEARING AID FIT/ORIENTATION/CHECKING NONPKG FEE, PER EAR ",standard
30,HEARING AID FLU BINAURAL ,standard
30,HEARING AID FLU MONAURAL ,standard
MarkUp,HEARING AID IN EAR BINAURAL ,standard
MarkUp,HEARING AID IN EAR MONAURAL ,standard
65,HEARING AID INITIAL FLU BINAURAL ,standard
65,HEARING AID INITIAL FLU MONAURAL ,standard
MarkUp,HEARING AID ITC BINAURAL ,standard
MarkUp,HEARING AID ITC MONAURAL ,standard
MarkUp,HEARING AID ITE BINAURAL ,standard
MarkUp,HEARING AID ITE MONAURAL ,standard
MarkUp,HEARING AID MISC ACCESSORY EACH ,standard
MarkUp,HEARING AID MONAURAL ,standard
210,HEARING AID RETURN FEE BINAURAL ,standard
155,HEARING AID RETURN FEE MONAURAL ,standard
MarkUp,HEARING AIDCRD MONAURAL ITE ,standard
MarkUp,HEART ARTIFICIAL SYNCARDIA ,standard
MarkUp,HEARTMATE III SYS IDE#G140113 ,standard
18,HEAVY METALS PANEL UR LEAD ,standard
265,HEEL MIN 2V ,standard
265,HEEL MIN 2V ,standard
28,HEINZ BODY STAIN ,standard
1550,HEL-2D 2X2 FILL DCS COIL ,standard
1550,HEL-2D 2X4 FILL DCS COIL ,standard
"1,550.00",HEL-2D 4X10 FILL DCS COIL ,standard
1550,HEL-2D 4X8 FILL DCS COIL ,standard
17165,HELEX SEPTAL OCCLUDER ,standard
99.00,HELICOBACTER PYLORI ,standard
98,HELICOBACTER PYLORI STOOL AG ,standard
18175,HELICOPTER BASE ,standard
250,HELICOPTER MILEAGE ,standard
250,HELICOPTER NONCOVERED MILEAGE ,standard
"3,120.00",HELIX COIL 2-3MM ,standard
"3,385.00",HELIX COIL 4-10MM ,standard
"2,535.00",HELIX DETACH COIL 5MM ,standard
3.00,HEMATINIC PLUS VIT/MINERALS 106-1 MG PO TABS [25376],standard
16,HEMATOCRIT ,standard
16,HEMATOCRIT ,standard
16,HEMATOCRIT (POINT OF CARE) ,standard
4150,HEMATOPOIETIC PROGENITOR CELL BOOST ,standard
385.00,HEMEPATH CONSULT - TISSUE ,standard
"29,272.60",HEMIN 313 MG IV SOLR [10168],standard
MarkUp,HEMOCONCENTRATOR PERFUSION ,standard
1330,HEMOFILTRATION DIALYSIS ,standard
560,HEMO-FLOW SET CATH ,standard
16,HEMOGLOBIN ,standard
66,HEMOGLOBIN A1C ,standard
117.00,HEMOGLOBIN GHROMATOGRAPHY A2 ,standard
38,HEMOGLOBIN PLASMA ,standard
43.50,HEMOGLOBIN PLASMA ,standard
56,HEMOLYSINS/AGGLUTININS AUTO ,standard
411,HEMOPHAGOCYTIC SYNDROME GENETICS ,standard
"6,650.00",HEMORRHOIDEC NO RUB BAND MULT COL ,standard
6650,HEMORRHOIDEC NO RUB BAND SGL COL ,standard
2410,HEMORRHOIDECTOMY  RUBBER BAND ,standard
"2,410.00",HEMORRHOIDECTOMY RUB BAND LIGATUR ,standard
449,HEMOSTASIS PROBE ,standard
80,HEMOSTASIS VALVE ,standard
50,HEMOSTASIS VALVE MAP150 ,standard
245.00,HEMOSTAT SOFT GRIP ,standard
204,HEMOSTAT-ETHICON ABSORB 1952 ,standard
MarkUp,HEMOSTAT-GELFOAM CMPRS 100 SPG ,standard
204,HEMOSTAT-SURGICEL 4X8 #1952 ,standard
MarkUp,HEMOSTAT-SURGICEL 4X8 WEB ,standard
32.00,HEMPATH MED. CENTRIFUGE ,standard
70,HEP B SURF AG NEUTRAL CONF ,standard
70,HEP B SURFACE AG ,standard
70,HEP B SURFACE AG RFLX NEUT ,standard
595,HEP B VIRUS GENOTYPE ,standard
291,HEP C RNA PCR QUANTITATIVE ,standard
41.90,HEPARIN (PORCINE) IN D5W 100 UNIT/ML TPN COMPONENT [404389],standard
21.60,HEPARIN (PORCINE) IN NACL 1000-0.9 UT/500ML-% IV SOLN [187177],standard
37.80,HEPARIN (PORCINE) IN NACL 2000-0.9 UNIT/L-% IV SOLN [187178],standard
93.10,HEPARIN (PORCINE) IN NACL 25000-0.9 UT/250 ML-% IV SOLN [404324],standard
9.00,HEPARIN 1 UNIT/ML IN D5W REPACKAGE UF [403879],standard
9.00,HEPARIN 100 UNIT/ML IN 0.9% NACL REPACKAGED FLUSHES UF [408381],standard
9,HEPARIN 100 UNIT/ML IN D5W REPACKAGED FLUSHES UF [403880],standard
33.80,HEPARIN 100 UNITS/ML IN PLASMALYTE FOR HARVESTED MARROW UF [404464],standard
65.00,HEPARIN ASSAY ,standard
41.6,HEPARIN IN 0.9% NACL 100 UNITS/ML (100 ML) IV SOLUTION [405548],standard
20.80,HEPARIN IN 0.9% NACL 100 UNITS/ML (50 ML) IV SOLUTION [405550],standard
41.1,HEPARIN IN D5W 100 UNITS/ML (100 ML) IV SOLUTION [405165],standard
20.6,HEPARIN IN D5W 100 UNITS/ML (50 ML) IV SOLUTION [405166],standard
108.00,HEPARIN INDUCED ANTIBODY ,standard
125.00,HEPARIN INDUCED PLATELET AB ,standard
13.80,HEPARIN LOCK FLUSH 10 UNIT/ML IV SOLN [37994],standard
21.50,HEPARIN LOCK FLUSH 10 UNIT/ML IV SOLN [37994],standard
160.00,HEPARIN PLATELET AB ,standard
125,HEPARIN PLATELET AB ,standard
125.00,HEPARIN PLT AB ,standard
41.90,HEPARIN SOD (PORCINE) IN D5W 100 UNIT/ML IV SOLN [24329],standard
92.30,HEPARIN SOD (PORCINE) IN D5W 100 UNIT/ML IV SOLN [24329],standard
88.90,HEPARIN SOD (PORCINE) IN NACL 20 UNIT/ML CUSTOM BMT UF [405444],standard
56.70,HEPARIN SOD (PORCINE) IN NACL 20 UNIT/ML CUSTOM BMT UF [405444],standard
49.10,HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN [10176],standard
26.00,HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN [10176],standard
49.10,HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN [10176],standard
46.20,HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN [10176],standard
18.80,HEPARIN SODIUM (PORCINE) 1000 UNIT/ML IJ SOLN [10176],standard
28.10,HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN [10181],standard
28.1,HEPARIN SODIUM (PORCINE) 5000 UNIT/ML IJ SOLN [10181],standard
9,HEPARIN SODIUM LOCK FLUSH 100 UNIT/ML IV SOLN [15235],standard
9,HEPARIN SODIUM LOCK FLUSH 100 UNIT/ML IV SOLN [15235],standard
55,HEPATIC FUNCTION PANEL ,standard
"10,055.00",HEPATIC VENOGRAPHY W/HEMO ,standard
"10,055.00",HEPATIC VENOGRAPHY W/O HEMO ,standard
20.00,HEPATITIS A AB TOTAL ,standard
76.00,HEPATITIS A IGM ,standard
84,HEPATITIS A TOTAL ,standard
300.9,HEPATITIS A VACCINE 1440 EL U/ML IM SUSP [91145],standard
311.2,HEPATITIS A VACCINE 1440 EL U/ML IM SUSP [91145],standard
80,HEPATITIS B CORE AB IGM ,standard
82,HEPATITIS B CORE ANTIBODY TOTAL ,standard
2856.4,HEPATITIS B IMMUNE GLOBULIN IJ SOLN [88654],standard
674.5,HEPATITIS B IMMUNE GLOBULIN IJ SOLN [88654],standard
2739.2,HEPATITIS B IMMUNE GLOBULIN IM SOLN [91158],standard
647.3,HEPATITIS B IMMUNE GLOBULIN IM SOLN [91158],standard
3178.7,HEPATITIS B IMMUNE GLOBULIN IV SOLN (CUSTOM HEPAGAM) [403583],standard
73,HEPATITIS B SURFACE ANTIBODY ,standard
121,HEPATITIS B VAC RECOMBINANT 10 MCG/0.5ML IJ SUSP [27325],standard
121,HEPATITIS B VAC RECOMBINANT 10 MCG/0.5ML IJ SUSP [27325],standard
259.3,HEPATITIS B VAC RECOMBINANT 20 MCG/ML IJ SUSP [27326],standard
259.3,HEPATITIS B VAC RECOMBINANT 20 MCG/ML IJ SUSP [27326],standard
699.2,HEPATITIS B VAC RECOMBINANT 40 MCG/ML IJ SUSP [144409],standard
151,HEPATITIS B VIRUS DNA QUANT ,standard
35,HEPATITIS BE ANTIBODY ,standard
33,HEPATITIS BE ANTIGEN ,standard
97,HEPATITIS C AB REFLEX CONFIRM ,standard
206,HEPATITIS C CONFIRMATION BY PCR ,standard
156,HEPATITIS C DNA QUANT ,standard
105,HEPATITIS C VIRUS AB CONFIRM RIBA ,standard
250,HEPATITIS DELTA AG ,standard
31.00,HEPATITIS DELTA ANTIBODY ,standard
1615,HEPATOBIL SYST IMAGE W/DRUG ,standard
1495,HEPATOBILIARY SYSTEM IMAGING ,standard
291,HEPTIMAX HCV RNA ,standard
31,HERPES SIMPLEX 1 AND OR 2 IGG A ,standard
98.00,HERPES SIMPLEX VIRUS IGG AB ,standard
291.1,HETASTARCH IN LACT ELECTROLYTE 6 % IV SOLN [25531],standard
35.00,HETEROPHILE AB (INFECTIOUS MON ,standard
154.00,HEXAGONAL PHOSPOLPD NEUTRAL ,standard
4173.3,HEXAMINOLEVULINATE HCL 100 MG IS SOLR [138054],standard
200,HFE GENE ANALYSIS ,standard
285.00,HFO DYNAMIC WITH JOINTS ,standard
90,HFO FLEXION GLOVE ,standard
235,HFO PRE FAB WITH JOINTS ,standard
245,HFO WITHOUT JOINT ,standard
47,HGB OR RBC FETAL FMH ROSETTE ,standard
284,HHV6 DNA PCR ,standard
200.00,HHV-6 IGG ,standard
199,HHV-6 IGM ,standard
255.00,HICKMAN REPAIR KIT ,standard
810,HIP ADJ FLEX EXT ABDUCT CONT ,standard
479.00,HIP JOINT ADJUSTABLE FLEXION ,standard
785,HIP SPICA 1 1/2 AD S ,standard
535,HIP SPICA 1 1/2 PEDS ,standard
694,HIP SPICA B1 PEDS SC ,standard
500,HIP SPICA UNI AD SC ,standard
345.00,HIP SPICA UNI PED SC ,standard
18920,HIS BUNDLE RECORDING (SUB) ,standard
58.00,HISTAMINE (BLOOD) ,standard
228.1,HISTAMINE PHOSPHATE 0.275 MG/ML ID SOLN [3649],standard
80.00,HISTOARCRYL SKIN ADHESIVE ,standard
24.00,HISTOMPLASMA ABS QUANT ,standard
27,HISTONE ANTIBODY ,standard
120,HISTOPLASMA ANTIGEN BY EIA ,standard
131,HIV AB AG COMBO ASSAY ,standard
160.00,HIV DNA PCR AMP ,standard
177.00,HIV PHENO DNA CULTURE ADDTL ,standard
1748,HIV PHENO DNA REVERSE GENO ,standard
1383,HIV PHENOSENSE ,standard
"1,383.00",HIV PHENOSENSE ENTRY ,standard
215.00,HIV PHENOTYPE EA ADDTL DRUG ,standard
196.00,HIV RNA QUANT VIRAL LOAD ,standard
131,HIV1 AG HIV1&2 AB ,standard
93.00,HIV-1 AND 2 REFLEX WESTERN BLOT ,standard
566,HIV1 DRG RESIST GENOSURE ,standard
566,HIV1 DRG RESIST INTEGRASE REG ,standard
566,HIV1 DRG RESIST REVERSE TRANSCP ,standard
1748,HIV-1 GENOTYPE NUCLEIC ACID ,standard
600,HIV-1 GENOTYPING ,standard
"1,116.00",HIV-1 INTEGRASE INHIB RESIST ,standard
210,HIV-1 QUANT&REVRSE TRNSCRPJ ,standard
1748,HIV-1 VIRTUAL PHENOTYPE ,standard
93,HIV-1/HIV-2 ANTIBODY 1 RESULT ,standard
"1,515.00",HLA ABC C-I LOW RESLV COMPLETE ,standard
404,HLA ABC C-I LOW RESLV COMPLETE ,standard
1515,HLA ABC MED RESOLVE ,standard
1515,HLA ABC MED RESOLVE-CAD ,standard
1515,HLA A-B-C SSOP-CAD ,standard
"2,730.00",HLA ABDR CL I&II LRESLV AG EQV ,standard
637.00,HLA B5701 ,standard
755,HLA C MED RESOLVE ,standard
"1,205.00",HLA CL I HI RESLV SEQ 1 LOCUS ,standard
840,HLA CL II HI RESLV SEQ I LOCUS ,standard
"2,275.00",HLA CLASS 1 HI RES SSP ,standard
755.00,HLA CLASS 1 MED RESOLVE ,standard
151.00,HLA CLASS II AG EQUIV-1 LOCUS ,standard
755.00,HLA CLI L-RESLV AG EQV 1 LOCUS ,standard
138.00,HLA CLI L-RESLV AG EQV 1 LOCUS ,standard
1500,HLA DQ DP SSOP-CAD ,standard
1500,HLA DQB1 SSP ,standard
830.00,HLA DQB1 SSP CLASS II-1 LOCUS ,standard
151.00,HLA DQB1 SSP CLASS II-1 LOCUS ,standard
"1,500.00",HLA DQB1 SSP-CAD ,standard
151.00,HLA DQB1 SUB TYPE CII-1 LOCUS ,standard
830,HLA DQB1 SUBTYPE ,standard
1500,HLA DRB1 AND DRB 3-4-5 SSOP-CAD ,standard
151,HLA DRB1 CLASS II-1 LOCUS ,standard
1500,HLA DRB1 SSP ,standard
"1,500.00",HLA DRB1 SSP-CAD ,standard
"1,500.00",HLA DRB1 SSP-CAD ,standard
830,HLA DRSSO DRB345 ,standard
740,HLA HI ALLELE RESLV PRIM DR DQ ,standard
"1,410.00",HLA POST-TX SEQ NO CELL SELECT ,standard
"1,770.00",HLA POST-TX SEQ W CELL SELECT ,standard
394.00,HLA TYPE A B OR C MULTI AG ,standard
37.00,"HLA X-MATCH, NON-CYT ADD-ON ",standard
110,"HLA X-MATCH, NON-CYTOTOXIC ",standard
495.00,HLS B27 DISEASE ASSOCIATION ,standard
1938,HO POST-OP HIP ABDUCTION ,standard
380,HOLTER MNTR UP TO 48HR ANLY W/RPT ,standard
380,HOLTER MNTR UP TO 48HRS RECORDING ,standard
580.00,HOME SLEEP TEST-TYPE 3 ,standard
115,HOMOCYSTINE ,standard
35,HOMOVANILLIC ACID ,standard
MarkUp,HOOK RETRACTOR ,standard
MarkUp,HOOK SPINAL ,standard
275,HOSPITAL CLINIC VISIT EST LEVEL 1 ,standard
305.00,HOSPITAL CLINIC VISIT EST LEVEL 2 ,standard
330.00,HOSPITAL CLINIC VISIT EST LEVEL 3 ,standard
360,HOSPITAL CLINIC VISIT EST LEVEL 4 ,standard
385,HOSPITAL CLINIC VISIT EST LEVEL 5 ,standard
360,HOSPITAL CLINIC VISIT NEW LEVEL 1 ,standard
385,HOSPITAL CLINIC VISIT NEW LEVEL 2 ,standard
415,HOSPITAL CLINIC VISIT NEW LEVEL 3 ,standard
440,HOSPITAL CLINIC VISIT NEW LEVEL 4 ,standard
470,HOSPITAL CLINIC VISIT NEW LEVEL 5 ,standard
2275,HPC TRANSPL PREP PLASMA VOL DEPL ,standard
2275,HPC TRANSPL PREP PLASMA VOL DEPL ,standard
3980,HPC TRANSPL PREP RBC REMVL ,standard
3980,HPC TRANSPL PREP RBC REMVL ,standard
1365,HPC TRANSPL PREP/CRYO&STORAGE ,standard
1365,HPC TRANSPL PREP/CRYO&STORAGE ,standard
"3,980.00",HPC-A TRANSPL PREP/CELL CONCEN ,standard
"3,980.00",HPC-A TRANSPL PREP/CELL CONCEN ,standard
905.80,HPV 9-VALENT RECOMB VACCINE IM SUSY [159611],standard
72,HPV AMPLIFIED PROBE ,standard
209,HR EM CATHETER W / IMPEDANCE ,standard
60,HR RM BALLOON - ADULT ,standard
158,HR RM CATHETER - ADULT ,standard
206,HSV 1/2 DNA BY PCR AMP PROBE ,standard
29,HSV IGM ,standard
49.00,HSV1 GLYCOPROTEIN IGG REFLEX ,standard
485.00,HSV1 HSV2 PCR SUBTYPES BLD ,standard
48.00,HSV2 GLYCOPROTEIN IGG REFLEX ,standard
81,HSV-SLIDE (FA) ,standard
57.00,HTLV I ANTIBODY ,standard
87,HTLV I/II ABS QUAL ,standard
26.00,HTLV I/II ANTIBODIES ,standard
131,HTLV I/II CONFIRMATION ,standard
57,HTLV1/HTLV11 AB ,standard
35,HUMAN GROWTH HORMONE ,standard
405.00,HUMAN HERPES VIRUS 6 HHA6 PCR ,standard
284.00,HUMAN HERPES VIRUS 6 PCR QNT ,standard
265.00,HUMERUS ARM MIN 2V ,standard
428.50,HUNTINGTON DISEASE MUTATION PCR ,standard
632.00,HUNTINGTON GENETICS ,standard
253.90,HYALURONIDASE BOVINE 150 UNIT/ML IJ SOLN [91148],standard
253.90,HYALURONIDASE HUMAN 150 UNIT/ML IJ SOLN [76338],standard
324.5,HYALURONIDASE OVINE 200 UNIT/ML IJ SOLN [40449],standard
324.5,HYALURONIDASE OVINE 200 UNIT/ML IJ SOLN [40449],standard
3,HYDRALAZINE HCL 10 MG PO TABS [3698],standard
28.5,HYDRALAZINE HCL 20 MG/ML IJ SOLN [3697],standard
28.5,HYDRALAZINE HCL 20 MG/ML IJ SOLN CUSTOM UF [402570],standard
3,HYDRALAZINE HCL 25 MG PO TABS [3700],standard
3,HYDRALAZINE HCL 25 MG PO TABS [3700],standard
3,HYDRALAZINE HCL 50 MG PO TABS [3701],standard
27.4,HYDRALAZINE PO LIQD 4 MG/ML [402062],standard
14.6,HYDROCERIN EX CREA [20102],standard
30,HYDROCERIN EX CREA [20102],standard
3,HYDROCHLOROTHIAZIDE 12.5 MG PO CAPS [19146],standard
3,HYDROCHLOROTHIAZIDE 12.5 MG PO TABS [76988],standard
3,HYDROCHLOROTHIAZIDE 12.5 MG PO TABS [76988],standard
3,HYDROCHLOROTHIAZIDE 25 MG PO TABS [3720],standard
3,HYDROCHLOROTHIAZIDE 5 MG/ML PO LIQD [402832],standard
3,HYDROCHLOROTHIAZIDE 50 MG PO TABS [3721],standard
3,HYDROCHLOROTHIAZIDE 6.25 MG PO TAB (INPATIENT) [402209],standard
3,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS [34505],standard
11.3,HYDROCODONE-HOMATROPINE 5-1.5 MG/5ML PO SYRP [3724],standard
9.7,HYDROCORTISONE 0.5 % EX CREA [3725],standard
12,HYDROCORTISONE 0.5 % EX OINT [3730],standard
10.5,HYDROCORTISONE 1 % EX CREA [3726],standard
21.7,HYDROCORTISONE 1 % EX OINT [3731],standard
6.10,HYDROCORTISONE 10 MG PO TABS [3733],standard
3.00,HYDROCORTISONE 10 MG PO TABS [3733],standard
36.40,HYDROCORTISONE 100 MG/60ML RE ENEM [10210],standard
32.10,HYDROCORTISONE 100 MG/60ML RE ENEM [10210],standard
430.1,HYDROCORTISONE 1000 MG COMPONENT WITH LOWER ROUNDING UF [405574],standard
24.9,HYDROCORTISONE 2.5 % EX CREA [3727],standard
3.3,HYDROCORTISONE 20 MG PO TABS [3734],standard
3.00,HYDROCORTISONE 5 MG PO TABS [10209],standard
512.9,HYDROCORTISONE ACE-PRAMOXINE 1-1 % RE FOAM [28849],standard
68,HYDROCORTISONE ACETATE 25 MG RE SUPP [3738],standard
64.5,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR [156150],standard
82.6,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR [156150],standard
82.60,HYDROCORTISONE NA SUCCINATE PF 100 MG IJ SOLR UF CUSTOM COMPONENT [404430],standard
430.1,HYDROCORTISONE NA SUCCINATE PF 1000 MG IJ SOLR [156152],standard
128.7,HYDROCORTISONE NA SUCCINATE PF 250 MG IJ SOLR [156151],standard
229.2,HYDROCORTISONE NA SUCCINATE PF 500 MG IJ SOLR [156153],standard
13.8,HYDROCORTISONE PO LIQD 2 MG/ML [402063],standard
64.5,HYDROCORTISONE SOD SUCCINATE 100 MG TPN COMPONENT [404391],standard
10.5,HYDROCORTISONE-ALOE VERA 1 % EX CREA [28062],standard
59.2,HYDROMORPHONE 0.2 MG/ML PCA IN NS 50ML [400585],standard
9,HYDROMORPHONE 0.2 MG/ML PCA UF [405969],standard
87.8,HYDROMORPHONE 1 MG/ML HIGH CONC PCA UF [405970],standard
16.6,HYDROMORPHONE HCL 1 MG/ML IJ SOLN [3757],standard
17.5,HYDROMORPHONE HCL 1 MG/ML IJ SOLN [3757],standard
17.5,HYDROMORPHONE HCL 1 MG/ML IJ SOLN [3757],standard
3,HYDROMORPHONE HCL 2 MG PO TABS [3760],standard
10.2,HYDROMORPHONE HCL 2 MG/ML IJ SOLN [3758],standard
17.8,HYDROMORPHONE HCL 2 MG/ML IJ SOLN [3758],standard
9,HYDROMORPHONE HCL 2 MG/ML IJ SOLN [3758],standard
17.8,HYDROMORPHONE HCL 2 MG/ML IJ SOLN [3758],standard
107.1,HYDROMORPHONE HCL 2 MG/ML IJ SOLN [3758],standard
36.9,HYDROMORPHONE HCL 3 MG RE SUPP [10227],standard
3,HYDROMORPHONE HCL 4 MG PO TABS [3761],standard
61.1,HYDROMORPHONE HCL PF 10 MG/ML IJ SOLN [133587],standard
22.7,HYDROMORPHONE HCL PF 10 MG/ML IJ SOLN [133587],standard
446.80,HYDROMORPHONE HCL PF 500 MG/50ML IJ SOLN [92531],standard
446.8,HYDROMORPHONE HCL PF 500 MG/50ML IJ SOLN [92531],standard
31.7,HYDROMORPHONE HCL-NACL 1-0.9 MG/ML-% IV SOSY [174686],standard
166.4,HYDROMORPHONE-BUPIVACAINE-NACL 20-0.06-0.9 MCG/ML-% IJ SH [403602],standard
130.7,HYDROMORPHONE-BUPIVACAINE-NACL 4-0.125-0.9 MG/200 ML-% EP SOLN [403603],standard
